id,departure_iata,arrival_iata,departure_date,arrival_date,price,currency_code,flight_number,flight_key,flight_search_url
10,STN,OPO,2023-06-09T09:25:00,2023-06-09T11:50:00,3191.8259999999996,CZK,FR1261,FR~1261~ ~~STN~06/09/2023 09:25~OPO~06/09/2023 11:50~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-09&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=OPO&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-09&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
11,STN,MAD,2023-06-09T18:25:00,2023-06-09T21:55:00,3506.9259999999995,CZK,FR5996,FR~5996~ ~~STN~06/09/2023 18:25~MAD~06/09/2023 21:55~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-09&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=MAD&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-09&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
12,STN,TRN,2023-06-09T11:30:00,2023-06-09T14:25:00,3643.926,CZK,FR464,FR~ 464~ ~~STN~06/09/2023 11:30~TRN~06/09/2023 14:25~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-09&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=TRN&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-09&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
13,STN,ARN,2023-06-09T10:10:00,2023-06-09T13:30:00,3678.176,CZK,FR4693,FR~4693~ ~~STN~06/09/2023 10:10~ARN~06/09/2023 13:30~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-09&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=ARN&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-09&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
14,STN,BOD,2023-06-10T19:35:00,2023-06-10T22:15:00,515.3939999999999,CZK,FR2226,FR~2226~ ~~STN~06/10/2023 19:35~BOD~06/10/2023 22:15~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BOD&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
15,STN,BRQ,2023-06-10T09:30:00,2023-06-10T12:35:00,876.8,CZK,FR2477,FR~2477~ ~~STN~06/10/2023 09:30~BRQ~06/10/2023 12:35~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BRQ&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
16,STN,BGY,2023-06-10T20:00:00,2023-06-10T22:55:00,1182.036,CZK,FR4189,FR~4189~ ~~STN~06/10/2023 20:00~BGY~06/10/2023 22:55~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BGY&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
17,STN,TRN,2023-06-10T19:30:00,2023-06-10T22:25:00,1261.7699999999998,CZK,FR466,FR~ 466~ ~~STN~06/10/2023 19:30~TRN~06/10/2023 22:25~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=TRN&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
18,STN,BTS,2023-06-10T08:35:00,2023-06-10T11:45:00,1380.138,CZK,FR2314,FR~2314~ ~~STN~06/10/2023 08:35~BTS~06/10/2023 11:45~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BTS&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
19,STN,CPH,2023-06-10T10:45:00,2023-06-10T13:30:00,1646.466,CZK,FR2618,FR~2618~ ~~STN~06/10/2023 10:45~CPH~06/10/2023 13:30~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=CPH&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
